Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
20,POC_44_20200915_RUN_9,10/8/2021 3:39:54 PM,OK,Unchecked,0,,25.0,°C,,2.404,mL,,59.540,g,,59.5399,g,,1.0,g/mL
21,POR_83_20200915_RUN_10,10/8/2021 3:50:27 PM,OK,Unchecked,0,,25.0,°C,,2.362,mL,,59.796,g,,59.7957,g,,1.0,g/mL
22,POC_248_20200913_RUN_6,10/8/2021 4:00:56 PM,OK,Unchecked,0,,25.0,°C,,2.412,mL,,59.914,g,,59.9144,g,,1.0,g/mL
23,POC_47_20200915_RUN_10,10/8/2021 4:11:30 PM,OK,Unchecked,0,,25.0,°C,,2.438,mL,,60.307,g,,60.3074,g,,1.0,g/mL
24,POC_53_20200915_RUN_9,10/8/2021 4:22:08 PM,OK,Unchecked,0,,25.0,°C,,2.400,mL,,60.090,g,,60.0902,g,,1.0,g/mL
25,BK_9_20200915_RUN_9,10/8/2021 4:32:42 PM,OK,Unchecked,0,,25.0,°C,,2.438,mL,,60.223,g,,60.2229,g,,1.0,g/mL
26,INITIAL_1_20200915_RUN_10,10/8/2021 4:43:21 PM,OK,Unchecked,0,,25.0,°C,,2.418,mL,,59.840,g,,59.8400,g,,1.0,g/mL
27,ACR_213_20200913_RUN_6,10/8/2021 4:53:55 PM,OK,Unchecked,0,,25.0,°C,,2.394,mL,,59.773,g,,59.7731,g,,1.0,g/mL
28,POC_201_20200913_RUN_5,10/8/2021 5:04:29 PM,OK,Unchecked,0,,25.0,°C,,2.377,mL,,59.922,g,,59.9221,g,,1.0,g/mL
29,POR_253_20200913_RUN_6,10/8/2021 5:15:02 PM,OK,Unchecked,0,,25.0,°C,,2.386,mL,,59.859,g,,59.8592,g,,1.0,g/mL
30,POR_242_20200913_RUN_5,10/8/2021 5:25:37 PM,OK,Unchecked,0,,25.0,°C,,2.252,mL,,59.828,g,,59.8281,g,,1.0,g/mL
31,POC_239_20200913_RUN_6,10/8/2021 5:35:52 PM,OK,Unchecked,0,,25.0,°C,,2.404,mL,,59.609,g,,59.6093,g,,1.0,g/mL
32,POC_375_20200912_RUN_4,10/8/2021 5:46:26 PM,OK,Unchecked,0,,25.0,°C,,2.380,mL,,59.603,g,,59.6028,g,,1.0,g/mL
33,CRM,10/8/2021 5:56:57 PM,OK,Unchecked,0,,25.0,°C,,2.362,mL,,59.828,g,,59.8275,g,,1.0,g/mL
10/8/2021 6:08:24 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
